Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,1,5,584488.2,0.019511663913726808,498174146968.6,0.36258348273273744,"1409280.0, 640392.0, 1257708.0, 921520.0, 438738.0, 1407441.0, 3308801.0, 1756017.0, 538262.0, 2004972.0, 1852695.0, 1371694.0, 1301068.0, 2168914.0, 1369135.0, 968047.0, 2696489.0, 1255463.0, 1753654.0, 645090.0"
importance_estimate_per_node_method,1,100,98317.2,0.2689767122268677,14641017585.99,0.06099044050595219,"1544243.0, 1594356.0, 1561466.0, 1624926.0, 1700347.0, 1568143.0, 1358778.0, 1536279.0, 1699578.0, 1663684.0, 1444187.0, 1531660.0, 1519573.0, 1654189.0, 1487968.0, 1561496.0, 1886774.0, 1791424.0, 1670553.0, 1758998.0"
importance_estimate_per_node_method,1,500,61821.0,1.4569179892539978,4898260019.55,0.03835025837308702,"1544962.0, 1700657.0, 1697783.0, 1589210.0, 1649354.0, 1552150.0, 1506715.0, 1501058.0, 1556126.0, 1554416.0, 1705136.0, 1675259.0, 1613810.0, 1596330.0, 1672865.0, 1496453.0, 1634510.0, 1648941.0, 1576235.0, 1711760.0"
importance_estimate_per_node_method,1,1000,34717.75,3.0329984784126283,1609946428.8475003,0.021536932153026343,"1612172.0, 1688357.0, 1624889.0, 1574257.0, 1649344.0, 1599111.0, 1697610.0, 1555600.0, 1659561.0, 1598841.0, 1625637.0, 1625251.0, 1643577.0, 1628178.0, 1602871.0, 1652258.0, 1560143.0, 1695146.0, 1661462.0, 1606204.0"
importance_estimate_per_node_method,1,2000,14053.6,5.652700364589691,292689482.98999995,0.008718060061662149,"1586546.0, 1609100.0, 1628410.0, 1613994.0, 1606538.0, 1627814.0, 1597843.0, 1592457.0, 1610864.0, 1642207.0, 1627997.0, 1584090.0, 1616028.0, 1606889.0, 1636355.0, 1638025.0, 1610394.0, 1616307.0, 1588596.0, 1596768.0"
importance_estimate_per_node_method,1.5,5,275661.25,0.06001197099685669,91533594876.22751,0.17100467739033878,"1785053.0, 990868.0, 1661488.0, 1192348.0, 1209046.0, 1696805.0, 1306095.0, 1680477.0, 1886459.0, 1491270.0, 1168869.0, 1036815.0, 1861793.0, 1925854.0, 1504929.0, 1201546.0, 1719359.0, 1452251.0, 1979086.0, 1353132.0"
importance_estimate_per_node_method,1.5,100,54376.45,0.7293289184570313,5573548257.6875,0.033732079825807525,"1608312.0, 1623880.0, 1593817.0, 1703237.0, 1568316.0, 1602663.0, 1592974.0, 1516805.0, 1590061.0, 1604605.0, 1682056.0, 1466020.0, 1745172.0, 1689808.0, 1443511.0, 1609572.0, 1545589.0, 1608097.0, 1607826.0, 1705464.0"
importance_estimate_per_node_method,1.5,500,33276.65,3.550850677490234,1457416073.1275,0.020642955068516947,"1594690.0, 1591844.0, 1675281.0, 1568247.0, 1620900.0, 1630720.0, 1647851.0, 1590917.0, 1625441.0, 1558689.0, 1582354.0, 1639208.0, 1561905.0, 1680167.0, 1595508.0, 1661160.0, 1630576.0, 1600949.0, 1582334.0, 1681666.0"
importance_estimate_per_node_method,1.5,1000,13500.05,6.528559458255768,281641311.9875,0.008374668891632185,"1638842.0, 1608564.0, 1617275.0, 1575129.0, 1599259.0, 1606946.0, 1603812.0, 1644022.0, 1600839.0, 1629212.0, 1629844.0, 1588255.0, 1592659.0, 1607797.0, 1630620.0, 1620147.0, 1602425.0, 1607377.0, 1610925.0, 1615986.0"
importance_estimate_per_node_method,1.5,2000,13064.25,13.00414264202118,234327586.12750006,0.008104323174173858,"1622678.0, 1600424.0, 1604264.0, 1615316.0, 1588509.0, 1606426.0, 1604573.0, 1637702.0, 1593252.0, 1605059.0, 1593384.0, 1619328.0, 1606591.0, 1583642.0, 1646009.0, 1623846.0, 1603282.0, 1599700.0, 1619667.0, 1606215.0"
importance_estimate_per_node_method,2,5,255695.0,0.09281104803085327,110196256553.5,0.1586187430599066,"1771126.0, 1741088.0, 2101083.0, 1551916.0, 858466.0, 1418651.0, 1455547.0, 1675999.0, 2388231.0, 1340960.0, 1522061.0, 1036263.0, 1395919.0, 1376141.0, 1673154.0, 1776431.0, 1457445.0, 1399761.0, 1914539.0, 1661359.0"
importance_estimate_per_node_method,2,100,62054.45,1.413740599155426,5339217658.7875,0.03849507757396046,"1618385.0, 1714021.0, 1575625.0, 1695632.0, 1642392.0, 1530721.0, 1649798.0, 1579301.0, 1701176.0, 1673853.0, 1649712.0, 1538640.0, 1617635.0, 1553393.0, 1570571.0, 1580178.0, 1502046.0, 1693020.0, 1677943.0, 1437983.0"
importance_estimate_per_node_method,2,500,24110.85,7.329166340827942,1008291417.9875,0.014957010192244467,"1567944.0, 1613241.0, 1625539.0, 1626060.0, 1614084.0, 1582197.0, 1542585.0, 1609281.0, 1591341.0, 1552433.0, 1607201.0, 1578727.0, 1603852.0, 1608057.0, 1595107.0, 1626608.0, 1611757.0, 1640837.0, 1625817.0, 1511547.0"
importance_estimate_per_node_method,2,1000,16790.2,14.127714240550995,447856256.51000005,0.010415692210346088,"1644125.0, 1601233.0, 1625706.0, 1589360.0, 1629186.0, 1610909.0, 1599949.0, 1624037.0, 1613985.0, 1601220.0, 1586001.0, 1618533.0, 1643619.0, 1599880.0, 1564665.0, 1653366.0, 1614018.0, 1589328.0, 1608871.0, 1603375.0"
importance_estimate_per_node_method,2,2000,11946.75,27.176886916160583,101953569.9875,0.00741108926123287,"1623468.0, 1622181.0, 1611560.0, 1626957.0, 1623307.0, 1629687.0, 1616482.0, 1640585.0, 1616940.0, 1610373.0, 1624829.0, 1632320.0, 1613544.0, 1629687.0, 1626960.0, 1640364.0, 1623488.0, 1596572.0, 1619450.0, 1615331.0"
importance_estimate_per_node_method,1,3000,17413.2,8.19906564950943,482984943.95,0.010802166239663527,"1632092.0, 1590235.0, 1583326.0, 1615415.0, 1621981.0, 1632930.0, 1591894.0, 1639618.0, 1619363.0, 1605437.0, 1600613.0, 1621206.0, 1596164.0, 1636162.0, 1627268.0, 1574869.0, 1611824.0, 1610219.0, 1604672.0, 1671482.0"
importance_estimate_per_node_method,1,4000,20511.9,10.867922043800354,725276246.39,0.012724424786446734,"1634913.0, 1629987.0, 1588908.0, 1573624.0, 1614457.0, 1604435.0, 1632203.0, 1577424.0, 1598382.0, 1639142.0, 1615075.0, 1530803.0, 1593833.0, 1621743.0, 1639244.0, 1647312.0, 1605179.0, 1617739.0, 1617353.0, 1602322.0"
