Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
Importance Sampling,0,5,610412.1,0.012807202339172364,1290427588441.46,1.8536825418998657,"524.0, 425126.0, 3931.0, 464703.0, 262.0, 1048.0, 8125.0, 3669.0, 786.0, 1310.0, 2096.0, 5504.0, 96977.0, 2883.0, 3918919.0, 524.0, 97763.0, 14415.0, 3731779.0, 44032.0"
Importance Sampling,0,100,148719.6,0.09198204278945923,40637651076.6,0.4516275581010456,"116267.0, 280958.0, 173890.0, 274811.0, 286527.0, 81133.0, 401615.0, 592398.0, 409203.0, 369390.0, 985928.0, 499274.0, 271312.0, 208238.0, 304180.0, 507504.0, 326668.0, 469853.0, 127537.0, 532154.0"
Importance Sampling,0,500,72452.75,0.4166813850402832,8391310254.027498,0.22002250248256133,"224451.0, 361113.0, 453304.0, 312737.0, 339015.0, 341733.0, 365178.0, 170105.0, 458323.0, 326277.0, 401448.0, 290692.0, 327394.0, 381850.0, 340685.0, 164816.0, 407033.0, 445339.0, 506707.0, 219013.0"
Importance Sampling,0,1000,49695.55,0.856450080871582,3629653707.1274996,0.15091406845492067,"245059.0, 367911.0, 335000.0, 398654.0, 334839.0, 208233.0, 254073.0, 429074.0, 242400.0, 305432.0, 281602.0, 328649.0, 335195.0, 234637.0, 408004.0, 342706.0, 350660.0, 260427.0, 356051.0, 303671.0"
Importance Sampling,0,2000,43764.3,1.7335712313652039,2689708470.3100004,0.13290221289595716,"384045.0, 355783.0, 364114.0, 311223.0, 398724.0, 257715.0, 392995.0, 210739.0, 254815.0, 409829.0, 343094.0, 385593.0, 402462.0, 314504.0, 339034.0, 354662.0, 322476.0, 347127.0, 310137.0, 355215.0"
Importance Sampling,0,3000,31333.7,2.494715392589569,975895764.6099999,0.0951533114483278,"351942.0, 375250.0, 295558.0, 250184.0, 268436.0, 269915.0, 294112.0, 334502.0, 288284.0, 302031.0, 303617.0, 311891.0, 320966.0, 307621.0, 243991.0, 327541.0, 312331.0, 302039.0, 330584.0, 318651.0"
Importance Sampling,0,4000,24528.6,3.3159516930580137,880421251.14,0.07448777243643276,"390640.0, 353594.0, 322506.0, 296937.0, 307655.0, 345256.0, 317835.0, 326742.0, 319762.0, 300692.0, 284495.0, 315760.0, 306063.0, 356414.0, 316699.0, 372229.0, 289006.0, 264757.0, 332799.0, 332767.0"
Importance Sampling,1,5,245273.95,0.016089367866516113,64628341922.4875,0.7448411312584081,"437086.0, 272644.0, 108253.0, 72269.0, 0.0, 104150.0, 33066.0, 118001.0, 2563.0, 427440.0, 71624.0, 27243.0, 728773.0, 452076.0, 599436.0, 181.0, 850348.0, 114540.0, 20391.0, 279131.0"
Importance Sampling,1,100,64847.45,0.19758145809173583,6879683595.8875,0.19692693829582414,"386579.0, 321411.0, 326449.0, 397696.0, 377374.0, 330481.0, 265017.0, 463624.0, 322526.0, 253181.0, 360579.0, 179395.0, 154253.0, 341560.0, 306371.0, 379158.0, 488108.0, 269553.0, 422313.0, 406227.0"
Importance Sampling,1,500,29180.75,0.9177584528923035,1159711202.4275002,0.08861529257782488,"300857.0, 290837.0, 331734.0, 344166.0, 315622.0, 292323.0, 288239.0, 281946.0, 343294.0, 324146.0, 311883.0, 351096.0, 405314.0, 372627.0, 306106.0, 302052.0, 336463.0, 374749.0, 371181.0, 367002.0"
