Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_importance_variance_reduction_method,0,5,162841.44642692554,4.593452799320221,106892788491.70468,4.164636362929992,"67368.69107550457, 53386.47766364461, 52858.28536374724, 55660.5571485687, -2178.0718800963514, 429184.0134842942, 53916.58965915384, 1448874.0871059499, 51518.25773274755, 45638.33149361709, 55015.1529260429, 468877.23876861273, 349655.4094287717, 52734.5256227393, 55007.77325758003, 55352.10693858267, -6735.114918215251, 469305.11606288166, 54979.66262055411, 54199.46538720734"
estimate_importance_variance_reduction_method,0,100,305180.45382403734,4.69006724357605,34115545021.112904,7.80492708176357,"821388.6303685772, 234621.97997024495, 401571.5589080516, 392589.3616098338, 120672.6784960681, 513386.1626362646, 292378.3850411996, 602546.2977283159, 279467.4753191673, 228717.87774721504, 245131.87313229067, 316017.17130997794, 201734.0129735737, 63030.88154282995, 140637.44083094836, 358633.22520149185, 614431.8170393521, 457023.3890226084, 177751.51797278802, 423897.3396299479"
estimate_importance_variance_reduction_method,1,5,252831.9561926262,4.387788689136505,23693389342.11972,6.466125065666509,"27133.445843471876, 463805.52150463616, 283254.6149064142, 313423.86496125226, 398396.26627869986, 71981.98100704844, 57238.464823505354, 339417.6875385096, 157288.23372869604, 288676.4528151689, 561271.0818447749, 418218.0745392181, 438352.6864045464, 308129.28202840703, 143493.87951948395, 131692.84065680433, 135791.15460122272, 395192.19381378323, 464790.72844205075, 417175.56028177275"
estimate_importance_variance_reduction_method,1,100,300763.0754321626,4.563687491416931,3182756172.525263,7.691953541652713,"361669.06085357105, 361278.19115530245, 464882.10097023647, 298791.9080107718, 347315.3752295502, 398259.5787896933, 304499.85332039796, 373872.02788721514, 369690.7825486761, 391998.4963472149, 341453.7795897544, 388461.3576185701, 297678.32788368093, 269150.9761981084, 354801.5627959189, 339237.405602418, 273904.84148177644, 196892.2392185549, 360291.32468649175, 303152.31845535024"
estimate_importance_variance_reduction_method,1.5,5,318637.8610091494,5.619959688186645,28528023297.589397,8.149097491346753,"252633.72650216677, 644030.6693640287, 341906.8473101553, 216923.83088390387, 477377.64519606053, 445832.05261107825, 315850.6348288122, 51855.28418959167, 246127.2642581026, 522810.42102723126, 555932.3118599744, 459995.01671835943, 498024.5983100842, 70410.36169844122, 180608.74348450862, 563792.2475097221, 233105.17168724784, 168293.15066658222, 407923.72457004, 501343.51750689663"
estimate_importance_variance_reduction_method,1.5,100,289425.122954257,5.9039180994033815,1237305560.5974793,7.401987748504053,"354672.3164512323, 332427.6249239651, 332843.41083112964, 293426.5308006925, 317865.14179918217, 386318.64066105767, 273087.5835048666, 410531.0369801301, 321020.37311333744, 298935.87184731127, 303696.18349629245, 355682.31298350927, 308224.2558001775, 293688.9582749101, 317400.8704239902, 338918.6705802077, 385523.4219738642, 282383.5756968183, 332251.0459709555, 331624.6329715097"
estimate_importance_variance_reduction_method,2.71832019987558,5,327790.0296776543,4.57735538482666,5938882799.592656,8.383162314970315,"511048.8189801924, 374850.52237666, 235303.62885552962, 274345.57938601496, 431904.8486148395, 428735.49062819907, 373863.30767516803, 353729.99895375955, 343837.27672068216, 255870.27454167555, 384158.7794974827, 428890.62260033225, 284016.7373639183, 254769.97538655772, 415904.158661115, 477951.7941421877, 339190.4299701544, 357510.3614730926, 471903.8406530807, 340034.14707244514"
estimate_importance_variance_reduction_method,2.71832019987558,100,288114.27710971184,5.151360785961151,411976074.6737634,7.368463136741051,"335554.16947419965, 305090.17254053795, 325872.70815530233, 302813.74420610175, 338458.43270821765, 324489.1421947817, 317816.24074329995, 314208.7615646969, 362479.4653409278, 310313.4122020763, 304995.30564322486, 326686.53978580877, 337072.08322984295, 328650.31465774984, 364272.4677621311, 335924.49823131855, 327095.36115286243, 370798.5950969715, 318276.0815821568, 293438.04592202796"
estimate_importance_variance_reduction_method,2,5,286190.7009593161,4.647962975502014,15576945095.369572,7.319268073944812,"487322.95904398046, 155059.49376060188, 543100.7603955739, 445450.4070387372, 521322.5399893217, 300213.83962022455, 555726.251916088, 273487.0973646328, 429276.353025042, 224145.87241262317, 359600.47725316416, 289010.6023954487, 187901.44095373826, 240039.17688482328, 239290.74791957586, 190362.2646756217, 257304.48505675173, 351530.5989663685, 228327.2909665451, 227361.35954745967"
estimate_importance_variance_reduction_method,2,100,288087.0136781905,5.060603904724121,408050675.3475683,7.367765880110241,"314667.5753187934, 301217.6943030596, 345331.30839056615, 328843.1633679428, 339730.5013586341, 291824.0004738977, 338565.56878690305, 341201.98857679765, 355095.3797874034, 322048.12693495385, 307387.943507069, 304593.1416675613, 354212.85614453326, 338297.72401871905, 301006.6217810596, 335867.1033082153, 332593.88431719434, 296030.7548069401, 340321.57754887245, 354923.35916469316"
importance_estimate_per_node_method,0,5,117577.55,0.012840676307678222,116983194086.0875,3.0070215595509064,"11008.0, 2096.0, 3145.0, 262.0, 1834.0, 262.0, 6028.0, 210466.0, 3931.0, 10221.0, 1569454.0, 1572.0, 1048.0, 262.0, 3669.0, 524.0, 262.0, 2096.0, 786.0, 4979.0"
importance_estimate_per_node_method,0,100,272725.65,0.08753447532653809,21697104726.727505,6.974902176414925,"496876.0, 432845.0, 314572.0, 560854.0, 379966.0, 136265.0, 273396.0, 125808.0, 225130.0, 233714.0, 607010.0, 339969.0, 231761.0, 282045.0, 435754.0, 33273.0, 220334.0, 462540.0, 230490.0, 202275.0"
importance_estimate_per_node_method,1,5,245138.9,0.017876040935516358,55041534680.96,6.269376742282805,"24616.0, 26726.0, 322238.0, 652664.0, 83897.0, 12397.0, 85430.0, 23747.0, 376713.0, 671642.0, 24954.0, 609657.0, 278888.0, 731744.0, 400955.0, 37025.0, 329912.0, 266114.0, 296018.0, 259179.0"
