Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
Importance Sampling,0,5,50844.0,0.010241043567657471,5670042444.539999,1.0527579923803216,"13279.0, 6290.0, 73387.0, 17123.0, 10134.0, 7338.0, 2795.0, 10134.0, 3494.0, 4193.0, 15027.0, 4543.0, 79678.0, 348767.0, 9086.0, 15376.0, 8736.0, 22016.0, 6989.0, 4543.0"
Importance Sampling,0,100,19055.55,0.012859082221984864,571149510.3275,0.39455752029153557,"14153.0, 13349.0, 33915.0, 49274.0, 63847.0, 76131.0, 63393.0, 62903.0, 78245.0, 27293.0, 91315.0, 46251.0, 41062.0, 64773.0, 50760.0, 64668.0, 55128.0, 41743.0, 113629.0, 42005.0"
Importance Sampling,0,250,10229.2,0.01219024658203125,163618311.9,0.2118022196455193,"51434.0, 37910.0, 75701.0, 38713.0, 34045.0, 42446.0, 36624.0, 51455.0, 78063.0, 54894.0, 49924.0, 62233.0, 33695.0, 35093.0, 46548.0, 55970.0, 42565.0, 46353.0, 31242.0, 53552.0"
Importance Sampling,0,500,8171.05,0.01406334638595581,95743568.8475,0.16918688918336924,"35890.0, 43585.0, 53049.0, 36320.0, 54992.0, 50476.0, 63026.0, 61642.0, 44455.0, 41614.0, 34188.0, 55463.0, 45745.0, 39944.0, 52011.0, 48373.0, 69687.0, 46835.0, 36323.0, 59601.0"
Uniform Sampling,0,5,50844.0,0.010241043567657471,5670042444.539999,1.0527579923803216,"13279.0, 6290.0, 73387.0, 17123.0, 10134.0, 7338.0, 2795.0, 10134.0, 3494.0, 4193.0, 15027.0, 4543.0, 79678.0, 348767.0, 9086.0, 15376.0, 8736.0, 22016.0, 6989.0, 4543.0"
Uniform Sampling,0,100,19055.55,0.012859082221984864,571149510.3275,0.39455752029153557,"14153.0, 13349.0, 33915.0, 49274.0, 63847.0, 76131.0, 63393.0, 62903.0, 78245.0, 27293.0, 91315.0, 46251.0, 41062.0, 64773.0, 50760.0, 64668.0, 55128.0, 41743.0, 113629.0, 42005.0"
Uniform Sampling,0,250,10229.2,0.01219024658203125,163618311.9,0.2118022196455193,"51434.0, 37910.0, 75701.0, 38713.0, 34045.0, 42446.0, 36624.0, 51455.0, 78063.0, 54894.0, 49924.0, 62233.0, 33695.0, 35093.0, 46548.0, 55970.0, 42565.0, 46353.0, 31242.0, 53552.0"
Uniform Sampling,0,500,8171.05,0.01406334638595581,95743568.8475,0.16918688918336924,"35890.0, 43585.0, 53049.0, 36320.0, 54992.0, 50476.0, 63026.0, 61642.0, 44455.0, 41614.0, 34188.0, 55463.0, 45745.0, 39944.0, 52011.0, 48373.0, 69687.0, 46835.0, 36323.0, 59601.0"
Importance Sampling,1,5,21512.2,0.00808650255203247,715054327.1099999,0.44542405168129867,"10534.0, 5602.0, 8331.0, 72396.0, 32466.0, 54820.0, 55491.0, 73320.0, 31234.0, 79378.0, 55643.0, 47016.0, 45475.0, 8969.0, 99519.0, 43219.0, 38126.0, 29215.0, 46110.0, 92790.0"
Importance Sampling,1,100,4789.85,0.01618061065673828,32309457.247500002,0.09917695047208878,"45565.0, 51585.0, 47513.0, 44788.0, 48987.0, 54893.0, 51148.0, 52060.0, 47016.0, 47277.0, 55750.0, 53029.0, 61553.0, 39112.0, 55151.0, 51532.0, 53192.0, 43261.0, 38427.0, 43532.0"
Importance Sampling,1,250,2687.7,0.026345551013946533,10611029.889999999,0.05565057147589862,"49026.0, 53432.0, 46388.0, 46011.0, 48304.0, 42716.0, 51265.0, 51430.0, 54841.0, 44259.0, 46456.0, 46540.0, 53730.0, 48848.0, 53170.0, 47099.0, 50792.0, 47303.0, 47942.0, 46370.0"
