Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_variance_reduction_method,1,5,75900.55429673466,13.673606824874877,9041712815.00186,0.045224071600524,"1881604.9814600954, 1619491.1208953857, 1652832.5322114693, 1662329.9069732912, 1668184.8695871157, 1948375.2438305824, 1660759.4499977576, 1782486.5022510167, 1700042.0590624192, 1671699.6876267234, 1602700.4524457117, 1791558.7184058225, 1800289.8148933544, 1742358.979886948, 1640002.8777295984, 1638918.2618617385, 1663766.3711325915, 1567408.5157173772, 1777601.792866709, 1785143.039456506"
estimate_variance_reduction_method,1,100,23111.405897260865,13.857793033123016,789471851.2413067,0.01377054337443045,"1678860.206106465, 1687586.3069642305, 1699070.6800024027, 1693658.3060668733, 1645264.4923749678, 1735237.2566402403, 1694277.112816401, 1673733.107452478, 1672036.1873598574, 1705468.962786585, 1648437.343551582, 1626816.9326064477, 1653716.914812629, 1690932.1069577252, 1645908.1861571644, 1648814.9920197038, 1680947.9017438225, 1731028.2844856095, 1701269.2651848868, 1691907.8845248055"
estimate_variance_reduction_method,1,500,13927.479644204583,15.260790765285492,252966414.38800335,0.008298455030801349,"1678444.919967022, 1699911.1776285016, 1684617.6414434153, 1676354.495856977, 1715207.5631908327, 1660634.137727896, 1706374.4064455128, 1658986.6606605893, 1687179.3340912722, 1693744.360316841, 1680066.468477903, 1700532.0321937473, 1690143.5828776434, 1661572.6914970053, 1668451.349930671, 1690701.493402551, 1683204.2452841625, 1672035.3515756114, 1697035.889640006, 1660646.8348265688"
estimate_variance_reduction_method,1,1000,7624.911693782825,16.97876685857773,86066366.16741692,0.004543175680103593,"1672582.8413888467, 1671549.0343438687, 1673948.145083634, 1680657.3329488912, 1682644.0116358015, 1692891.5448155412, 1668014.1676207185, 1699286.9636121513, 1670788.7596693926, 1682294.1815484965, 1683881.1890447421, 1673013.043715256, 1668550.6361309765, 1700466.645224543, 1685185.9763259934, 1676548.2815987412, 1677712.5452601528, 1674370.1979076865, 1683281.8564515626, 1688986.184987207"
estimate_variance_reduction_method,1,2000,5111.804702456424,20.386195158958436,41852167.901910655,0.003045783051438534,"1679351.2051258497, 1680364.2267524677, 1686115.4101358366, 1674386.7498549651, 1681492.855791781, 1678229.5939096466, 1676509.8903635778, 1663064.27912244, 1681757.534190005, 1670301.6678021618, 1691279.1986898964, 1676508.3511265295, 1673140.4482267238, 1673122.086373222, 1666513.084555054, 1675276.90109514, 1685912.778259042, 1681267.443271565, 1676411.0345909244, 1675128.4711469298"
estimate_variance_reduction_method,1,3000,5313.846245424962,23.56330085992813,39431812.944324985,0.003166166114383867,"1679250.9775426202, 1662416.396206477, 1676154.198690147, 1681079.163209021, 1676646.0339973941, 1667376.5384606298, 1674477.802110344, 1682571.0252293705, 1683402.4309047016, 1670879.2479882687, 1678990.790899865, 1673834.472047611, 1668946.2607795142, 1681757.481359804, 1671854.5328029103, 1678851.500223593, 1687751.3509366515, 1676075.3204118714, 1683107.85445517, 1668468.8463571304"
estimate_variance_reduction_method,1,4000,4705.5051536137125,27.029692113399506,28902741.395657845,0.002803696283319716,"1682516.538119725, 1680849.3235767614, 1686880.2132490342, 1688761.8938202995, 1676336.6782695253, 1681493.91144499, 1667848.2459351828, 1687709.6906649787, 1683823.2814368207, 1674918.5530781185, 1675937.183411073, 1675339.6937877908, 1675921.9085892693, 1680858.486820476, 1679089.8513252407, 1681106.5298815323, 1673301.6077011784, 1687827.8188289264, 1677873.015661542, 1683957.4503371695"
importance_estimate_per_node_method,2,5,83712.3,0.11937731504440308,11133165859.689999,0.04987856918994091,"1637996.0, 1805749.0, 1616704.0, 1740286.0, 1653506.0, 1455545.0, 1738058.0, 1712639.0, 1770756.0, 1855279.0, 1700719.0, 1725560.0, 1731429.0, 1565548.0, 1661399.0, 1971213.0, 1679419.0, 1687598.0, 1794644.0, 1778171.0"
importance_estimate_per_node_method,2,100,20855.15,2.010554015636444,590839565.9875,0.012426191159980025,"1710701.0, 1662224.0, 1674233.0, 1726019.0, 1660562.0, 1670778.0, 1653685.0, 1638167.0, 1683700.0, 1671174.0, 1669665.0, 1682097.0, 1656530.0, 1702580.0, 1670523.0, 1660079.0, 1710974.0, 1663021.0, 1629157.0, 1645746.0"
importance_estimate_per_node_method,2,500,5078.7,10.626092612743378,38724458.39,0.0030260581700055173,"1683755.0, 1688938.0, 1680549.0, 1679570.0, 1678316.0, 1671005.0, 1681615.0, 1674962.0, 1688551.0, 1682741.0, 1679592.0, 1672029.0, 1681084.0, 1675711.0, 1680394.0, 1691695.0, 1695213.0, 1675714.0, 1680035.0, 1674489.0"
importance_estimate_per_node_method,2,1000,4714.75,20.52095847129822,34253833.527499996,0.002809204669902438,"1677786.0, 1679792.0, 1679948.0, 1666810.0, 1674888.0, 1682338.0, 1679297.0, 1673399.0, 1674697.0, 1675772.0, 1667160.0, 1677703.0, 1683674.0, 1680542.0, 1678760.0, 1676789.0, 1673517.0, 1667765.0, 1688401.0, 1665459.0"
importance_estimate_per_node_method,2,2000,3190.55,40.011270749568936,22065614.1275,0.0019010356773014954,"1678499.0, 1675904.0, 1677972.0, 1691530.0, 1677495.0, 1674703.0, 1684863.0, 1679183.0, 1687196.0, 1677297.0, 1678676.0, 1678759.0, 1680970.0, 1675800.0, 1668918.0, 1679415.0, 1680686.0, 1676364.0, 1676800.0, 1674713.0"
importance_estimate_per_node_method,2,3000,2492.8,58.51827884912491,8676884.809999999,0.0014852930486521658,"1677267.0, 1682367.0, 1674457.0, 1675724.0, 1676956.0, 1679133.0, 1683896.0, 1680005.0, 1678381.0, 1674474.0, 1680011.0, 1681741.0, 1677244.0, 1677869.0, 1674022.0, 1674190.0, 1677966.0, 1682618.0, 1681178.0, 1680695.0"
importance_estimate_per_node_method,2,4000,2735.65,77.15718449354172,9860919.2475,0.0016299911459183637,"1677886.0, 1675050.0, 1681367.0, 1682220.0, 1680645.0, 1678111.0, 1680805.0, 1677146.0, 1674306.0, 1683538.0, 1682153.0, 1674367.0, 1678456.0, 1674848.0, 1681352.0, 1673572.0, 1679157.0, 1682263.0, 1677487.0, 1674470.0"
estimate_sampled_line_importance_variance_reduction_method_50,2,5,62665.93099167522,0.27071391344070433,6437232680.275119,0.0373384433926715,"1608137.5683712286, 1797607.6715085183, 1516346.4435619635, 1606416.5601760957, 1645476.0853397558, 1688779.6050941146, 1778478.663201491, 1643444.288756627, 1672551.7218565522, 1850663.916289415, 1717125.2244667357, 1693256.5396588289, 1710959.2252523005, 1799229.5655283164, 1673562.29258147, 1578724.5436427623, 1671566.777933552, 1618097.1782124254, 1614432.3159055861, 1647314.0148281977"
estimate_sampled_line_importance_variance_reduction_method_50,2,100,16803.83639867465,2.179224944114685,511756558.57395744,0.010012283935189225,"1650797.3676792039, 1687960.9672955938, 1678403.0624324034, 1678358.4582344692, 1664246.305884849, 1683622.065254649, 1686456.9453234284, 1677412.597999552, 1711131.3618531676, 1712823.8584662832, 1675269.0683182774, 1650307.0860001415, 1687534.725048837, 1699399.6003594408, 1623477.8943696285, 1638046.8402802618, 1662702.5137846412, 1673993.300841804, 1678058.2371355342, 1704696.895999114"
estimate_sampled_line_importance_variance_reduction_method_50,2,500,6926.775228140736,12.093736290931702,89275877.7502002,0.004127202782386656,"1672709.7942260222, 1677611.6492332863, 1684349.2565946162, 1696454.932655112, 1693676.7210490007, 1675379.8801881957, 1677330.8242641885, 1674851.4479416998, 1670232.4223874959, 1679606.5943905488, 1699822.229637502, 1686477.3518088583, 1677611.7063470613, 1683821.615603253, 1666278.8318142265, 1679117.9155275573, 1673973.6581211872, 1680912.438475241, 1679694.921883702, 1659418.258539213"
estimate_sampled_line_importance_variance_reduction_method_50,2,1000,4636.516445862968,21.918077850341795,32466752.978919566,0.002762590519496835,"1676553.8339918377, 1682657.3234671745, 1682762.816197671, 1687327.0623048434, 1667570.2911519178, 1678454.3824445202, 1683830.5143268558, 1676205.1638244297, 1669000.3312440508, 1676813.8556191353, 1671973.4428133697, 1677814.4246460728, 1674142.2347395907, 1673852.8232813664, 1676417.7964182347, 1675066.0230114756, 1668759.8186871298, 1689569.767024541, 1676311.9429212029, 1677965.554498533"
