Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
Importance Sampling (Submatrix Method),0,5,630879.0,0.6866813540458679,0.0,1.0,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
Importance Sampling (Submatrix Method),0,100,1665227.75,0.8455732703208924,4968469762219.628,2.6395358697943663,"4458090.0, 0.0, 262240.0, 6031533.0, 0.0, 262240.0, 524481.0, 1835684.0, 1048962.0, 262240.0, 1573443.0, 0.0, 4458090.0, 0.0, 0.0, 262240.0, 1835684.0, 7604977.0, 4195849.0, 1835684.0"
Importance Sampling (Submatrix Method),0,500,563547.95,1.3163281321525573,601348643499.5475,0.8932742253268853,"3264370.0, 360843.0, 516089.0, 476228.0, 2290933.0, 287415.0, 1921699.0, 362940.0, 451053.0, 1334280.0, 484620.0, 551754.0, 1336378.0, 421682.0, 1359455.0, 1281832.0, 274828.0, 331472.0, 702804.0, 1036374.0"
Importance Sampling (Submatrix Method),0,1000,244553.65,2.868773341178894,103400165706.5875,0.3876395473616969,"1303335.0, 357433.0, 936198.0, 462854.0, 336716.0, 806652.0, 440826.0, 1285765.0, 712245.0, 378413.0, 935149.0, 643276.0, 654028.0, 445546.0, 631737.0, 633311.0, 561719.0, 263551.0, 1387514.0, 732437.0"
Importance Sampling (Submatrix Method),0,2000,196812.85,6.0823287725448605,55302420282.027504,0.31196608224398015,"835006.0, 436040.0, 1022377.0, 1010806.0, 659633.0, 741944.0, 494913.0, 553917.0, 782362.0, 1243610.0, 907745.0, 900829.0, 522481.0, 290824.0, 640883.0, 723882.0, 548902.0, 483374.0, 396081.0, 717228.0"
Importance Sampling (Submatrix Method),0,3000,196487.65,9.056259202957154,69878321206.34749,0.3114506109729441,"473227.0, 925029.0, 517216.0, 448110.0, 472421.0, 602920.0, 556765.0, 633311.0, 462553.0, 577628.0, 308200.0, 1462612.0, 799736.0, 755175.0, 349576.0, 554415.0, 400810.0, 382939.0, 670549.0, 1004847.0"
Importance Sampling (Submatrix Method),0,4000,141381.65,10.829066169261932,28517728161.247505,0.2241026409184646,"558584.0, 967339.0, 677928.0, 448906.0, 766779.0, 623624.0, 763628.0, 526443.0, 577130.0, 513102.0, 283609.0, 874769.0, 612749.0, 398458.0, 842132.0, 781427.0, 765906.0, 713515.0, 611803.0, 828618.0"
Importance Sampling (Submatrix Method),1,5,1123035.65,0.41942142248153685,4456431609946.627,1.780112588943363,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3092551.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9348292.0, 0.0, 0.0, 74194.0, 0.0, 0.0, 0.0"
Importance Sampling (Submatrix Method),1,100,2351963.8,0.6649125933647155,28708978833711.594,3.728074321700357,"980035.0, 444740.0, 494544.0, 346945.0, 778164.0, 1825472.0, 563777.0, 1451472.0, 478469.0, 848036.0, 3569473.0, 731968.0, 19878270.0, 272008.0, 577731.0, 621033.0, 336942.0, 17158359.0, 4407578.0, 453362.0"
Importance Sampling (Submatrix Method),1,500,121919.6,1.1273407578468322,17108874531.109997,0.19325353990226338,"616325.0, 927815.0, 588877.0, 935705.0, 833949.0, 624284.0, 841485.0, 538933.0, 657901.0, 645512.0, 1026908.0, 644193.0, 653077.0, 879669.0, 756734.0, 758712.0, 603743.0, 720038.0, 760028.0, 677618.0"
Importance Sampling (Submatrix Method),1,1000,130453.1,2.794291627407074,59007414663.4,0.20677990549693362,"651897.0, 755585.0, 567704.0, 671533.0, 718174.0, 559863.0, 722634.0, 1697012.0, 531810.0, 651527.0, 735517.0, 853571.0, 572998.0, 641033.0, 516831.0, 614147.0, 868719.0, 735646.0, 655206.0, 661393.0"
Importance Sampling (Submatrix Method),1,2000,40736.45,5.93360298871994,2341767340.6275,0.06457093991082283,"704700.0, 627729.0, 644291.0, 656564.0, 637128.0, 590805.0, 570010.0, 642864.0, 589052.0, 595088.0, 665509.0, 664869.0, 576269.0, 655143.0, 721729.0, 586487.0, 690268.0, 748242.0, 630061.0, 672439.0"
Importance Sampling (Submatrix Method),1,3000,30480.7,8.892358994483947,1057643404.89,0.048314653047573305,"579661.0, 567654.0, 645541.0, 679784.0, 682890.0, 589005.0, 617703.0, 594692.0, 603703.0, 614058.0, 606281.0, 634453.0, 602763.0, 631518.0, 652962.0, 572470.0, 639413.0, 576063.0, 595040.0, 623128.0"
Importance Sampling (Submatrix Method),1,4000,34648.3,10.36541074514389,1809684347.5600002,0.054920674170482776,"706662.0, 602846.0, 583743.0, 650907.0, 657257.0, 611527.0, 675510.0, 637946.0, 662433.0, 587925.0, 621636.0, 657816.0, 610279.0, 594040.0, 584482.0, 599108.0, 665390.0, 752108.0, 645015.0, 639266.0"
