Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_importance_variance_reduction_method_50,2,5,19308.771758588857,1.1960249423980713,602806486.0725117,0.02199602629049914,"858231.4085940449, 867503.3260632926, 861047.3096155542, 862256.2635201485, 897563.878213555, 937218.0247612167, 890349.3369941813, 858341.8168769572, 888081.0654396157, 898208.6686613132, 852876.45733617, 851257.5230788678, 934003.4305616923, 884722.8127619844, 843037.7391979467, 880692.8739869533, 862270.7679111296, 881270.1236518967, 886599.0251327454, 879948.8072007345"
estimate_importance_variance_reduction_method_50,2,100,4512.012922724394,1.2217738032341003,25865350.894025214,0.005139962091435009,"880129.7958809407, 875827.7305531312, 885291.0778335541, 882720.671509823, 873177.2311710572, 880390.7535504898, 881542.3134420068, 871187.0875178342, 884103.8119490333, 879070.9379020925, 883817.0559045249, 879342.7647133704, 887264.4944502652, 878183.1812687394, 885503.4852281403, 878394.8836555463, 876223.7403434013, 889138.4497168578, 875545.062512292, 870052.5664531806"
estimate_importance_variance_reduction_method_50,2,500,2687.619358526857,1.568450129032135,11767442.573728602,0.0030616626892756653,"871490.9195278864, 878764.299622004, 874662.4025387246, 881509.0074067548, 870762.3681376749, 883780.6054724943, 878395.936987848, 877772.6251500165, 874806.7379795074, 873929.7881183423, 875597.6614155635, 877868.2507050625, 878436.2607304937, 877067.5532619309, 882370.8716209466, 876536.743276782, 879072.7689132112, 882892.3392737051, 879289.9414086336, 879658.9044358119"
estimate_importance_variance_reduction_method_50,2,1000,2024.4389727797068,1.7102292418479919,6344818.132303845,0.002306185676930279,"878811.4800985004, 877739.2951327822, 874995.5415191491, 877557.9454345327, 881924.366408635, 882940.9016114579, 883391.77402351, 878096.210177035, 881917.1322999006, 877745.4527943232, 876534.2612725239, 881121.9230825296, 876939.2612302887, 875521.74773992, 879295.7771592006, 876412.2755332688, 876928.5354740618, 877485.0220783688, 875100.4672193589, 880289.0200234031"
estimate_importance_variance_reduction_method_50,2,2000,982.9195280034212,2.0292877316474915,1590917.0628926707,0.0011197151248002702,"879566.7892001761, 877792.2570749266, 877579.4384724324, 875716.3924530275, 879101.4064065455, 879066.2268888188, 877808.8843458835, 877969.7332873512, 875576.5762896895, 875711.5079313017, 878167.5493894751, 878064.8100719511, 880314.7468838957, 878129.6484714528, 877727.9078100371, 878545.9499931885, 876619.3856531557, 878788.8717698999, 879403.7081884354, 878391.3000393325"
estimate_importance_variance_reduction_method_50,2,3000,1099.0927078871696,2.3061047077178953,1638886.758258458,0.0012520564436020298,"877716.7304976565, 876889.7967643664, 877375.5091064604, 875661.6862792404, 876286.1974919223, 878597.9641185752, 878486.5900173564, 878958.8703553863, 875702.4437441486, 875501.9293013206, 877443.5046990394, 879253.8033802095, 875096.9783215187, 877897.9780609215, 878015.5157226115, 879751.7146435869, 878107.1125301038, 877364.1956745503, 876358.5690496106, 877010.1537411734"
estimate_importance_variance_reduction_method_50,2,4000,781.5670688470243,2.589919865131378,1015589.5037104897,0.0008903398936548354,"877075.9712037877, 878287.3803453658, 878503.5633512364, 877632.0747943722, 877039.7728077307, 876056.0319307484, 877104.514017445, 877885.6579025808, 878278.1555849212, 878791.3488540741, 878433.0209747404, 878030.3828665338, 879295.0163352173, 875567.9252010233, 877220.0910458328, 878910.7794821555, 877353.5707816985, 877840.7308102413, 879876.8954305346, 877868.3612219779"
importance_estimate_per_node_method,2,5,29855.25,0.005779302120208741,1427092457.2475,0.03401028672977684,"910697.0, 876927.0, 888445.0, 914001.0, 830745.0, 823109.0, 872851.0, 857540.0, 872796.0, 913760.0, 892438.0, 917684.0, 983542.0, 891255.0, 937150.0, 841462.0, 867007.0, 870447.0, 900906.0, 839889.0"
importance_estimate_per_node_method,2,100,5235.5,0.0356326699256897,45359708.239999995,0.005964138842372668,"880659.0, 871430.0, 868488.0, 875105.0, 873970.0, 880537.0, 877663.0, 890589.0, 873775.0, 877478.0, 881731.0, 890770.0, 879242.0, 880903.0, 878787.0, 883810.0, 880109.0, 883217.0, 898236.0, 881009.0"
importance_estimate_per_node_method,2,500,2324.95,0.17753576040267943,10032170.9275,0.0026485196450337766,"877714.0, 881770.0, 877590.0, 876117.0, 878745.0, 870454.0, 876349.0, 877690.0, 885560.0, 875713.0, 875779.0, 876093.0, 876233.0, 882291.0, 876925.0, 878622.0, 877387.0, 878774.0, 881658.0, 881803.0"
importance_estimate_per_node_method,2,1000,2017.2,0.34317723512649534,6613427.8,0.002297939236526434,"876575.0, 876011.0, 881350.0, 879431.0, 878105.0, 877472.0, 884678.0, 879654.0, 881748.0, 876506.0, 875459.0, 878113.0, 876729.0, 878877.0, 875258.0, 873525.0, 877626.0, 879435.0, 874927.0, 879041.0"
importance_estimate_per_node_method,2,2000,958.7,0.6398635506629944,1031136.4,0.00109212489889842,"876193.0, 877301.0, 877286.0, 876672.0, 876652.0, 877094.0, 877777.0, 879091.0, 879360.0, 876714.0, 875269.0, 876127.0, 878200.0, 875836.0, 877310.0, 878211.0, 876610.0, 877694.0, 877528.0, 878075.0"
importance_estimate_per_node_method,2,3000,1080.2,0.9319753527641297,1715051.6900000002,0.0012305343859289383,"877888.0, 877560.0, 877789.0, 875376.0, 876092.0, 876244.0, 877173.0, 877626.0, 876226.0, 877756.0, 878477.0, 879314.0, 878875.0, 878562.0, 877010.0, 878900.0, 876667.0, 880542.0, 876178.0, 879423.0"
