Method,Noise Scale,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
Variance Reduction (Multiplicative Noise),0.01,5,11529.944055837357,0.0045251607894897464,1148923377.005673,0.007197991661581764,"1601714.5501093573, 1603216.4855269406, 1603928.2835069161, 1602788.7350351214, 1599986.6276018543, 1602687.51630994, 1605404.9955114715, 1588730.2701426006, 1598793.7264763005, 1605566.390420787, 1579658.5344063884, 1602196.1151252475, 1594298.9110054162, 1594468.3512441851, 1752300.875757809, 1598337.411818508, 1602620.0355580777, 1600104.4457292042, 1598405.4686689784, 1602665.7455672293"
Variance Reduction (Multiplicative Noise),0.01,100,2532.4254754156805,0.004023945331573487,21043185.0671363,0.0015813895171816138,"1599796.4145830881, 1606497.9158420106, 1600591.503018637, 1600463.4106011975, 1604073.7964924087, 1599988.7329243307, 1601260.0870843679, 1600962.9281985897, 1619951.658887961, 1600252.5747888982, 1598893.9700991109, 1603580.5412172659, 1597501.7314430608, 1603602.4396973066, 1600537.457112926, 1601838.8841220953, 1603777.5896278268, 1601814.9092458393, 1599001.6671828001, 1599258.5697897887"
Variance Reduction (Multiplicative Noise),0.01,500,1621.8063276641885,0.004303503036499024,4186398.7224466642,0.0010125782067296842,"1601817.323662922, 1603161.305185328, 1598281.252513488, 1601166.3025060594, 1601787.2907070592, 1601589.6294742918, 1606094.2018828187, 1596247.8726805823, 1602613.8156853663, 1603120.82032674, 1600866.8014222595, 1602486.2179125764, 1601303.3135845775, 1600644.2381318652, 1602364.119866091, 1602235.0775032614, 1600643.3326680306, 1600215.3098262784, 1598225.1441825645, 1602723.3166913027"
Variance Reduction (Multiplicative Noise),0.01,1000,988.2912695679464,0.0042252659797668455,925426.9441783242,0.0006170224144541163,"1600274.0367936746, 1601526.6389198012, 1602278.6410840328, 1601313.0662331937, 1602069.6178115122, 1598651.0682601624, 1601602.618246073, 1602423.6183037218, 1602325.3080135423, 1602453.2802870031, 1601318.1512930517, 1600911.8960707989, 1601925.9240619242, 1602001.8222453373, 1600984.0442626209, 1603107.1965128693, 1600194.3525512777, 1601566.0218037444, 1601494.1921236014, 1601173.024893928"
Variance Reduction (Multiplicative Noise),0.01,2000,899.4140285990085,0.004553604125976563,2260535.429579749,0.0005616767437121843,"1602174.5486612145, 1600357.0731289864, 1601976.090628281, 1600494.2252227794, 1603306.7278317485, 1601987.9667070396, 1601862.2587664032, 1601014.9246216612, 1604816.6170115795, 1602966.8261103863, 1600194.404042056, 1600606.205166815, 1601617.2626624422, 1601680.6788271677, 1601404.1431782965, 1597538.9491429564, 1601718.9757162568, 1602215.4478139235, 1599384.3280897678, 1602881.2562437404"
Variance Reduction (Multiplicative Noise),0.01,3000,600.0220520347124,0.005178892612457275,1980048.2798704947,0.0003746535286440032,"1600005.1964125065, 1600624.5906479142, 1601007.4129675373, 1600790.1479519594, 1601442.2002097329, 1602673.927387707, 1601084.003140093, 1604305.3475777796, 1600735.7305606361, 1603776.5526336506, 1602390.5429405754, 1600831.5330872638, 1599580.197523852, 1599937.304574474, 1602440.8941062717, 1603293.871807918, 1601348.5445085035, 1602221.8114978808, 1598705.72023282, 1600442.373438778"
Variance Reduction (Multiplicative Noise),0.01,4000,492.82070633528053,0.0047597169876098635,764971.8750345923,0.00030768218503350294,"1601863.3013503272, 1601855.2637933148, 1599740.8739934072, 1599916.2446361168, 1601252.5142175641, 1602288.8832953544, 1602892.471905197, 1601694.158448383, 1601856.488705635, 1601674.1106754977, 1600983.6944775048, 1601378.1234269522, 1602326.2571356276, 1603116.0948714528, 1602644.4698433501, 1601471.5531769881, 1600568.235653904, 1602542.7611099787, 1601485.2299744997, 1602192.0459029886"
Variance Reduction (Multiplicative Noise),0.1,5,35315.76272407306,0.003996992111206054,3750438277.6786118,0.022126142103455537,"1371203.9343142367, 1608244.0081738671, 1575313.3722675808, 1610515.2909080116, 1587986.040614961, 1574298.591591006, 1592060.434782711, 1623619.9947073564, 1620174.881140599, 1601317.7542504894, 1571761.7934235206, 1602947.7285726091, 1578523.0366328806, 1604514.2573557517, 1615689.1564551604, 1631164.7117533367, 1616985.9999167148, 1560381.3809891662, 1720301.3369017907, 1545606.8238929447"
Variance Reduction (Multiplicative Noise),0.1,100,20981.931184379304,0.004050302505493164,468764163.3415597,0.013109291181164245,"1644058.0026698122, 1620574.9790707163, 1653425.6454779038, 1600611.0966871215, 1616885.644316717, 1592204.5569825738, 1620600.8521946229, 1600460.5191462624, 1569047.4846360662, 1593555.3983322957, 1623014.227129448, 1621089.4682030482, 1606294.8653313348, 1611281.0859718733, 1598339.8692507779, 1576560.4364467014, 1579457.944048305, 1611867.2294012613, 1634280.9254389515, 1633000.0721362021"
Variance Reduction (Multiplicative Noise),0.1,500,16794.62047966304,0.004074609279632569,490729090.95209235,0.01049270791194416,"1613703.3440863115, 1597058.6296921587, 1619632.206489206, 1568403.618182035, 1590999.1452788038, 1577984.6833142703, 1589837.4105798758, 1526716.388123149, 1599871.7884509664, 1602303.9878781734, 1592564.8036953297, 1586394.2221197514, 1594954.115251939, 1638532.4256656019, 1598940.8948796447, 1601482.1788140463, 1615443.4223582738, 1607257.129964866, 1585908.3927570812, 1615458.465445933"
