Method,Noise Scale,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method_multiplicative_noise,0.01,5,61.65,0.00754173994064331,4997.0875,0.0023049413925171156,"26791.0, 26648.0, 26713.0, 26855.0, 26624.0, 26835.0, 26709.0, 26811.0, 26795.0, 26803.0, 26743.0, 26747.0, 26875.0, 26669.0, 26678.0, 26688.0, 26683.0, 26763.0, 26751.0, 26664.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,100,12.85,0.00863955020904541,311.22749999999996,0.00048039938556282907,"26750.0, 26746.0, 26744.0, 26760.0, 26736.0, 26748.0, 26791.0, 26751.0, 26727.0, 26759.0, 26746.0, 26726.0, 26720.0, 26718.0, 26759.0, 26742.0, 26739.0, 26770.0, 26724.0, 26731.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,500,5.8,0.008936917781829834,106.26000000000002,0.00021684250212441295,"26749.0, 26775.0, 26743.0, 26733.0, 26729.0, 26744.0, 26744.0, 26755.0, 26737.0, 26727.0, 26739.0, 26737.0, 26743.0, 26735.0, 26751.0, 26735.0, 26749.0, 26743.0, 26739.0, 26749.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,1000,2.7,0.007776010036468506,98.3875,0.00010095800630056228,"26743.0, 26724.0, 26741.0, 26750.0, 26747.0, 26741.0, 26744.0, 26752.0, 26755.0, 26744.0, 26733.0, 26749.0, 26741.0, 26748.0, 26764.0, 26734.0, 26764.0, 26748.0, 26741.0, 26762.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,2000,3.1,0.008704435825347901,71.21,0.00011590791393261599,"26753.0, 26761.0, 26739.0, 26738.0, 26745.0, 26740.0, 26746.0, 26751.0, 26742.0, 26745.0, 26757.0, 26749.0, 26751.0, 26749.0, 26722.0, 26753.0, 26751.0, 26735.0, 26741.0, 26746.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,3000,2.35,0.009290635585784912,46.0,8.786158268538374e-05,"26744.0, 26741.0, 26743.0, 26752.0, 26741.0, 26753.0, 26738.0, 26736.0, 26739.0, 26751.0, 26746.0, 26739.0, 26731.0, 26756.0, 26735.0, 26746.0, 26741.0, 26753.0, 26752.0, 26743.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,4000,1.65,0.008791708946228027,56.790000000000006,6.168602039995576e-05,"26745.0, 26745.0, 26743.0, 26744.0, 26764.0, 26745.0, 26744.0, 26756.0, 26752.0, 26749.0, 26739.0, 26732.0, 26743.0, 26748.0, 26749.0, 26754.0, 26740.0, 26740.0, 26762.0, 26744.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,5,484.65,0.007322931289672851,375752.9600000001,0.01812347988092637,"26126.0, 25610.0, 27076.0, 26930.0, 26722.0, 26791.0, 26404.0, 27007.0, 27236.0, 26791.0, 28289.0, 26555.0, 26330.0, 26087.0, 26954.0, 26484.0, 25891.0, 25780.0, 26456.0, 27497.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,100,134.95,0.007702875137329102,32389.96,0.005043276032016764,"26745.0, 26628.0, 26621.0, 26962.0, 26755.0, 26741.0, 26922.0, 26775.0, 26922.0, 26882.0, 27050.0, 26439.0, 26875.0, 26820.0, 26417.0, 26594.0, 26678.0, 26644.0, 27076.0, 26578.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,500,47.65,0.008041369915008544,15509.939999999999,0.0017802710742596101,"26946.0, 26775.0, 26782.0, 26815.0, 26882.0, 26781.0, 26818.0, 26785.0, 26892.0, 26690.0, 26486.0, 26655.0, 26833.0, 26629.0, 26727.0, 26969.0, 26732.0, 26493.0, 26736.0, 26826.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,1000,35.95,0.014751195907592773,5904.8875,0.0013464816010572795,"26647.0, 26782.0, 26742.0, 26730.0, 26783.0, 26724.0, 26693.0, 26818.0, 26686.0, 26632.0, 26585.0, 26674.0, 26753.0, 26736.0, 26501.0, 26830.0, 26696.0, 26776.0, 26684.0, 26683.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,2000,34.15,0.009919679164886475,7652.7,0.0012769447875079858,"26848.0, 26706.0, 26771.0, 26665.0, 26823.0, 26647.0, 26852.0, 26768.0, 26859.0, 26660.0, 26686.0, 26702.0, 26568.0, 26801.0, 26850.0, 26931.0, 26788.0, 26761.0, 26731.0, 26803.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,3000,27.95,0.010712134838104247,4525.1275,0.0010451964545342128,"26832.0, 26770.0, 26612.0, 26649.0, 26844.0, 26762.0, 26736.0, 26762.0, 26813.0, 26837.0, 26877.0, 26695.0, 26749.0, 26788.0, 26758.0, 26824.0, 26728.0, 26756.0, 26658.0, 26777.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,4000,13.2,0.00900118350982666,5979.5875,0.0004934256912374545,"26664.0, 26822.0, 26718.0, 26750.0, 26769.0, 26748.0, 26722.0, 26868.0, 26881.0, 26726.0, 26839.0, 26828.0, 26674.0, 26673.0, 26840.0, 26604.0, 26681.0, 26682.0, 26808.0, 26828.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,5,2407.05,0.007779157161712647,9147786.3275,0.08962761485892827,"26989.0, 23665.0, 33157.0, 26418.0, 23804.0, 23174.0, 23315.0, 27613.0, 27332.0, 32238.0, 25289.0, 25851.0, 28387.0, 22859.0, 31295.0, 26547.0, 27388.0, 28627.0, 31691.0, 26208.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,100,909.15,0.007567167282104492,1351684.0900000003,0.03404314484290956,"26005.0, 26224.0, 28575.0, 26372.0, 26862.0, 29207.0, 28182.0, 26940.0, 24222.0, 27326.0, 26311.0, 27422.0, 24965.0, 26725.0, 25540.0, 26142.0, 25576.0, 26146.0, 27356.0, 26040.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,500,228.1,0.007912325859069824,292097.69000000006,0.008510798719439322,"27090.0, 26788.0, 27101.0, 26949.0, 27325.0, 26732.0, 25978.0, 26177.0, 26407.0, 26761.0, 26557.0, 27885.0, 25743.0, 27003.0, 26060.0, 26821.0, 27654.0, 26805.0, 27415.0, 26487.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,1000,192.8,0.008207607269287109,112521.34,0.007230457024286758,"27381.0, 26954.0, 26996.0, 26797.0, 27429.0, 26867.0, 27354.0, 26331.0, 26864.0, 26826.0, 26697.0, 26605.0, 26906.0, 26658.0, 27187.0, 26714.0, 26119.0, 26801.0, 26886.0, 26316.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,2000,131.0,0.008884990215301513,200613.9,0.004887843047645771,"26936.0, 26769.0, 26371.0, 27096.0, 26485.0, 26742.0, 26117.0, 26845.0, 26997.0, 26761.0, 26884.0, 26656.0, 26415.0, 27649.0, 27535.0, 26899.0, 27359.0, 26090.0, 26769.0, 25865.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,3000,149.15,0.009107708930969238,219932.39000000004,0.005571992334071971,"27194.0, 26287.0, 27157.0, 27226.0, 27072.0, 26804.0, 25730.0, 26544.0, 27035.0, 27005.0, 27808.0, 26743.0, 26285.0, 26848.0, 26508.0, 26367.0, 26563.0, 26116.0, 27254.0, 26612.0"
