Method,Noise Scale,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method_multiplicative_noise,0.01,5,10082.8,0.06588832139968873,137862799.6275,0.002341738857781086,"4276933.0, 4320535.0, 4307854.0, 4303954.0, 4295285.0, 4320796.0, 4312187.0, 4298770.0, 4319125.0, 4312620.0, 4297016.0, 4310726.0, 4317139.0, 4316060.0, 4294189.0, 4296256.0, 4290441.0, 4317135.0, 4299313.0, 4314923.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,100,2738.85,0.07439790964126587,23465763.39,0.0006358944702922355,"4304917.0, 4303471.0, 4314775.0, 4308694.0, 4306011.0, 4313842.0, 4311736.0, 4306234.0, 4307543.0, 4302142.0, 4300690.0, 4306943.0, 4309669.0, 4306586.0, 4309166.0, 4310835.0, 4297580.0, 4311552.0, 4305016.0, 4296200.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,500,828.1,0.07518270015716552,10153983.040000001,0.00019232494772695479,"4304581.0, 4306193.0, 4303910.0, 4302642.0, 4306996.0, 4306735.0, 4302964.0, 4307147.0, 4309309.0, 4298156.0, 4307860.0, 4306794.0, 4302664.0, 4304325.0, 4306314.0, 4299789.0, 4302541.0, 4303600.0, 4312566.0, 4303506.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,1000,679.3,0.0660882830619812,22505886.6,0.00015767936841311542,"4310864.0, 4310952.0, 4313882.0, 4307529.0, 4299243.0, 4313365.0, 4309713.0, 4295701.0, 4310618.0, 4312640.0, 4309394.0, 4309132.0, 4307148.0, 4309433.0, 4305427.0, 4298860.0, 4306194.0, 4305458.0, 4304606.0, 4307941.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,2000,488.35,0.0699188232421875,12539619.8275,0.00011338405933600827,"4304251.0, 4302114.0, 4312813.0, 4309611.0, 4307111.0, 4307519.0, 4313606.0, 4308348.0, 4305085.0, 4308327.0, 4309184.0, 4302281.0, 4304265.0, 4303159.0, 4303477.0, 4305260.0, 4312231.0, 4305261.0, 4306824.0, 4312750.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,3000,307.2,0.06777087450027466,18393056.41,7.131961331493535e-05,"4308433.0, 4295714.0, 4311306.0, 4311447.0, 4307889.0, 4304871.0, 4305805.0, 4309227.0, 4311728.0, 4306076.0, 4306897.0, 4297444.0, 4307482.0, 4307344.0, 4306861.0, 4302125.0, 4308115.0, 4299468.0, 4305882.0, 4302880.0"
importance_estimate_per_node_method_multiplicative_noise,0.01,4000,271.45,0.03328026533126831,11716686.5475,6.30374888714121e-05,"4307598.0, 4305634.0, 4309830.0, 4306540.0, 4305401.0, 4308869.0, 4310532.0, 4304908.0, 4306516.0, 4310656.0, 4307096.0, 4299192.0, 4304644.0, 4305416.0, 4313498.0, 4301892.0, 4301028.0, 4310661.0, 4305683.0, 4308105.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,5,88008.7,0.06574972867965698,12611291689.86,0.020415759577439983,"4366185.0, 4360080.0, 4333008.0, 4283730.0, 4318702.0, 4279168.0, 4359386.0, 4251600.0, 4432216.0, 4204078.0, 4462260.0, 4092864.0, 4449566.0, 4485889.0, 4314073.0, 4207313.0, 4385403.0, 4219815.0, 4295452.0, 4050988.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,100,21634.6,0.2825318217277527,1962358324.8600001,0.005041420271749137,"4330437.0, 4275004.0, 4364000.0, 4299483.0, 4227999.0, 4291707.0, 4296081.0, 4318325.0, 4300448.0, 4327093.0, 4363239.0, 4245284.0, 4296407.0, 4272902.0, 4291195.0, 4328493.0, 4215383.0, 4394825.0, 4260369.0, 4268990.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,500,7752.05,0.5303225874900818,462629805.05,0.0017997568119365527,"4312931.0, 4340981.0, 4288672.0, 4309417.0, 4327685.0, 4337843.0, 4355674.0, 4292112.0, 4342879.0, 4290223.0, 4290960.0, 4328574.0, 4313296.0, 4318502.0, 4349688.0, 4303251.0, 4327175.0, 4297961.0, 4288612.0, 4296254.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,1000,6015.05,0.6598870873451232,1702174501.7099998,0.0013936112852235714,"4193096.0, 4313543.0, 4316244.0, 4278265.0, 4279033.0, 4350353.0, 4255633.0, 4325488.0, 4314085.0, 4358453.0, 4294039.0, 4354731.0, 4367366.0, 4333759.0, 4317037.0, 4261370.0, 4290004.0, 4294740.0, 4281272.0, 4348163.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,2000,4207.9,0.6586217045783996,1508441399.3474998,0.0009768369887958896,"4332157.0, 4338580.0, 4286399.0, 4362324.0, 4276978.0, 4290293.0, 4334876.0, 4290793.0, 4332989.0, 4233131.0, 4322512.0, 4269210.0, 4262238.0, 4291955.0, 4339029.0, 4329029.0, 4279153.0, 4275765.0, 4338023.0, 4400177.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,3000,3159.6,0.5083781719207764,973479193.6475,0.0007351392191274727,"4290076.0, 4265886.0, 4299714.0, 4326698.0, 4229835.0, 4254793.0, 4288535.0, 4335134.0, 4275696.0, 4293952.0, 4333375.0, 4296080.0, 4273099.0, 4324229.0, 4280506.0, 4330096.0, 4329491.0, 4346540.0, 4332616.0, 4327700.0"
importance_estimate_per_node_method_multiplicative_noise,0.1,4000,2978.3,0.28754414319992067,1476262078.1475003,0.0006917739010740149,"4322133.0, 4286551.0, 4399743.0, 4250928.0, 4310875.0, 4287451.0, 4370071.0, 4306456.0, 4275607.0, 4270556.0, 4289388.0, 4346982.0, 4335791.0, 4305546.0, 4317404.0, 4247262.0, 4344423.0, 4312110.0, 4321257.0, 4257867.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,5,539602.0,0.06529370546340943,382313766379.74744,0.1235746868130406,"5122782.0, 4598164.0, 3060654.0, 4829194.0, 3695710.0, 4509193.0, 4929242.0, 4751104.0, 4511372.0, 4463137.0, 5744448.0, 4715979.0, 4594411.0, 3558569.0, 4773119.0, 4058598.0, 4906889.0, 4526956.0, 4812423.0, 5645635.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,100,109102.15,0.06240266561508179,58323481618.6275,0.025930226815867246,"4196700.0, 3965275.0, 3932996.0, 4364972.0, 4269001.0, 4284509.0, 4605318.0, 4520217.0, 4425742.0, 4494050.0, 3673232.0, 4273656.0, 4403215.0, 4199046.0, 4552056.0, 4168161.0, 4409620.0, 3879381.0, 4155392.0, 4025014.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,500,41165.2,0.06276662349700927,19692369164.410004,0.009449453939538227,"4340748.0, 4428618.0, 4218762.0, 4442042.0, 4227639.0, 4202737.0, 4437304.0, 4166223.0, 4160297.0, 4608327.0, 4429917.0, 4219353.0, 4664449.0, 4214557.0, 4233121.0, 4239417.0, 4316012.0, 4467955.0, 4354417.0, 4274439.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,1000,27873.95,0.07473458051681518,55408283007.2875,0.006560124352203989,"4449598.0, 4811742.0, 4323979.0, 4083665.0, 4099721.0, 4300612.0, 4440679.0, 4314590.0, 4557706.0, 4304363.0, 4293145.0, 3949549.0, 4288770.0, 4343591.0, 4258542.0, 3993710.0, 4184435.0, 4846096.0, 4199254.0, 3971598.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,2000,26217.55,0.06988433599472046,21533667080.0275,0.00618860504179789,"4327340.0, 4177984.0, 4243982.0, 4287487.0, 4280693.0, 4263251.0, 4239011.0, 4367956.0, 4109678.0, 4345809.0, 3850219.0, 4077416.0, 4005584.0, 4525219.0, 4281441.0, 4228082.0, 4412209.0, 4165397.0, 4373071.0, 4212444.0"
importance_estimate_per_node_method_multiplicative_noise,0.5,3000,16668.85,0.06710580587387086,15484503125.839996,0.003768449823088136,"4458835.0, 4270864.0, 4677960.0, 4314722.0, 4376610.0, 4417847.0, 4523881.0, 4555355.0, 4567026.0, 4529851.0, 4425393.0, 4124490.0, 4349644.0, 4392868.0, 4360911.0, 4340868.0, 4379063.0, 4415884.0, 4253806.0, 4531370.0"
