Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,1,5,12114.7,0.004371237754821777,31908282.809999995,0.007515275959826551,"1601305.0, 1601585.0, 1601080.0, 1601459.0, 1601003.0, 1601160.0, 1601003.0, 1601323.0, 1600658.0, 1600938.0, 1602448.0, 1601164.0, 1601381.0, 1602482.0, 1575571.0, 1601380.0, 1601388.0, 1601413.0, 1597838.0, 1601327.0"
importance_estimate_per_node_method,1,100,10780.05,0.00451810359954834,90887.74749999998,0.006687334445816093,"1600688.0, 1601203.0, 1601715.0, 1600809.0, 1601311.0, 1601280.0, 1600981.0, 1601222.0, 1601803.0, 1601211.0, 1601188.0, 1600962.0, 1601242.0, 1601496.0, 1601441.0, 1601270.0, 1600785.0, 1601582.0, 1600891.0, 1601519.0"
importance_estimate_per_node_method,1,500,10565.45,0.004576659202575684,179956.44750000004,0.006554208720789573,"1601486.0, 1602181.0, 1601073.0, 1601485.0, 1601572.0, 1602700.0, 1600690.0, 1601462.0, 1601831.0, 1601750.0, 1601068.0, 1601503.0, 1601392.0, 1601128.0, 1601314.0, 1601293.0, 1601181.0, 1601294.0, 1601086.0, 1601402.0"
importance_estimate_per_node_method,1,1000,10568.05,0.0048053979873657225,145221.6475,0.006555821614009838,"1601136.0, 1601209.0, 1601402.0, 1601337.0, 1601134.0, 1602384.0, 1601175.0, 1601365.0, 1601007.0, 1601384.0, 1601475.0, 1601526.0, 1601204.0, 1601252.0, 1602537.0, 1601442.0, 1601818.0, 1601428.0, 1601221.0, 1601403.0"
importance_estimate_per_node_method,1,2000,10637.35,0.005291175842285156,73863.2275,0.006598811421765374,"1601937.0, 1601357.0, 1601106.0, 1601192.0, 1601457.0, 1601357.0, 1601504.0, 1601346.0, 1601442.0, 1601854.0, 1601349.0, 1601320.0, 1601719.0, 1601286.0, 1601602.0, 1600937.0, 1601291.0, 1600733.0, 1601314.0, 1601350.0"
importance_estimate_per_node_method,1,3000,10697.9,0.005847823619842529,63394.68999999999,0.006636373223491171,"1601581.0, 1601167.0, 1601434.0, 1601334.0, 1601315.0, 1601139.0, 1601220.0, 1600727.0, 1601126.0, 1601941.0, 1601378.0, 1601346.0, 1601356.0, 1600785.0, 1601495.0, 1601328.0, 1601422.0, 1601345.0, 1601393.0, 1601410.0"
importance_estimate_per_node_method,1,4000,10700.05,0.006099081039428711,18370.247499999998,0.006637706962115619,"1601341.0, 1601226.0, 1601384.0, 1600969.0, 1601372.0, 1601260.0, 1601422.0, 1601326.0, 1601418.0, 1601221.0, 1601252.0, 1601361.0, 1601255.0, 1601503.0, 1601147.0, 1601470.0, 1601590.0, 1601247.0, 1601195.0, 1601240.0"
importance_estimate_per_node_method,100,5,55675.3,0.004348659515380859,12403886367.66,0.03453781304086203,"1600639.0, 1618603.0, 1634277.0, 1551319.0, 1587698.0, 1589611.0, 1536875.0, 1592142.0, 1597350.0, 1552561.0, 1649862.0, 1646265.0, 1602155.0, 1594605.0, 1530801.0, 1734593.0, 1630094.0, 1599213.0, 2072529.0, 1614212.0"
importance_estimate_per_node_method,100,100,97456.05,0.005196690559387207,89580635782.0275,0.060456231661093915,"1551005.0, 1529648.0, 1580520.0, 1609945.0, 1616090.0, 1591586.0, 1548447.0, 1588122.0, 1609365.0, 1594058.0, 1603254.0, 1608371.0, 1673946.0, 1673093.0, 1582209.0, 1591040.0, 1613712.0, 2955883.0, 1515883.0, 1600250.0"
importance_estimate_per_node_method,100,500,48002.3,0.004750382900238037,6646964953.440001,0.02977791701044038,"1502980.0, 1564274.0, 1630471.0, 1590945.0, 1693723.0, 1605426.0, 1639315.0, 1596647.0, 1594725.0, 1615853.0, 1588654.0, 1506775.0, 1608381.0, 1570472.0, 1613870.0, 1531996.0, 1601599.0, 1910985.0, 1595201.0, 1582176.0"
